"","AccidentArea","Sex","MaritalStatus","Age","Fault","VehicleCategory","FraudFound_P","Deductible","AgentType","AddressChange_Claim","BasePolicy"
"8139","Rural","Male","Single",34,"Third Party","Sedan","0",400,"External","no change","Collision"
"5224.1","Urban","Female","Divorced",53,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3084.1","Urban","Male","Married",56,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12559.1","Urban","Male","Single",22,"Third Party","Sedan","0",400,"External","1 year","All Perils"
"14517","Urban","Male","Married",36,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"5112","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10217","Rural","Male","Married",67,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6229","Urban","Male","Single",37,"Third Party","Sedan","0",400,"External","no change","All Perils"
"49","Urban","Female","Married",37,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6496.1","Urban","Female","Single",38,"Third Party","Sport","0",400,"External","no change","Liability"
"2416","Urban","Male","Married",31,"Third Party","Sedan","0",400,"External","4 to 8 years","Collision"
"7276","Urban","Male","Married",36,"Third Party","Sport","0",400,"External","no change","Liability"
"2147","Urban","Male","Married",26,"Third Party","Sedan","0",400,"External","no change","Collision"
"2666","Urban","Male","Single",27,"Third Party","Sedan","0",400,"External","no change","All Perils"
"2891","Urban","Male","Married",34,"Third Party","Sport","0",400,"External","no change","Liability"
"13633","Urban","Male","Married",38,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"13795","Urban","Male","Single",26,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"14118","Rural","Male","Single",23,"Third Party","Sedan","0",400,"External","no change","All Perils"
"958","Urban","Male","Married",49,"Third Party","Sedan","0",400,"External","no change","Collision"
"1439","Urban","Male","Married",60,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"10762","Urban","Male","Married",60,"Policy Holder","Sedan","0",500,"External","2 to 3 years","Collision"
"12225","Urban","Male","Married",58,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8401","Urban","Female","Married",54,"Policy Holder","Sedan","0",400,"External","4 to 8 years","All Perils"
"10528","Urban","Male","Single",30,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3482","Urban","Male","Married",49,"Third Party","Sedan","0",400,"External","no change","All Perils"
"8676","Urban","Male","Single",48,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8416","Urban","Female","Married",33,"Third Party","Sport","0",500,"External","2 to 3 years","Liability"
"10653.1","Urban","Male","Married",37,"Third Party","Sedan","0",400,"External","no change","All Perils"
"879","Urban","Female","Single",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10637","Urban","Male","Married",38,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3595","Urban","Male","Single",48,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"9187","Urban","Female","Married",35,"Third Party","Sedan","0",400,"External","no change","Collision"
"12987","Urban","Male","Married",40,"Third Party","Sedan","0",400,"External","no change","Collision"
"12301","Urban","Female","Married",42,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"10836.1","Urban","Male","Married",54,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8880","Urban","Male","Married",54,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3295.1","Urban","Male","Married",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13434","Urban","Male","Married",60,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9003","Urban","Male","Single",28,"Third Party","Sport","0",400,"External","no change","Liability"
"14443.2","Urban","Male","Married",55,"Third Party","Sedan","0",400,"External","no change","Collision"
"3037","Urban","Male","Married",53,"Policy Holder","Sport","0",400,"External","no change","Collision"
"11153","Urban","Male","Married",27,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8726","Urban","Male","Single",33,"Third Party","Sedan","0",400,"External","no change","Collision"
"11739","Urban","Male","Married",31,"Third Party","Sedan","0",400,"External","no change","All Perils"
"12905","Urban","Male","Married",63,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5933","Urban","Male","Married",55,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2251","Urban","Male","Single",21,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"15371.2","Rural","Male","Married",40,"Third Party","Sedan","0",400,"External","no change","All Perils"
"9246","Urban","Male","Single",24,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"8009","Urban","Male","Married",41,"Policy Holder","Sedan","0",400,"External","1 year","All Perils"
"6007","Urban","Male","Single",24,"Third Party","Sedan","0",400,"External","1 year","Collision"
"12729.1","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"5719","Urban","Male","Married",36,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"8386","Urban","Male","Single",23,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"15225.1","Urban","Male","Single",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"317.1","Urban","Male","Single",50,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"5755","Urban","Female","Married",38,"Third Party","Sedan","0",400,"External","4 to 8 years","All Perils"
"9759","Rural","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12169","Urban","Female","Married",42,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6131.1","Urban","Male","Married",50,"Third Party","Sport","0",400,"External","no change","Liability"
"10691","Urban","Male","Married",29,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1834.1","Urban","Male","Married",45,"Policy Holder","Sport","0",400,"External","no change","Liability"
"7456","Urban","Male","Married",26,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"8644","Urban","Male","Married",45,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2597","Urban","Male","Married",63,"Policy Holder","Sport","0",400,"External","no change","Collision"
"9253","Rural","Male","Single",31,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"6987","Urban","Female","Married",39,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3432","Urban","Female","Married",63,"Third Party","Sport","0",400,"External","no change","Liability"
"4337","Urban","Male","Single",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5121","Rural","Male","Single",35,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"8.1","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","no change","Collision"
"4638","Urban","Male","Single",28,"Third Party","Sedan","0",400,"External","no change","Collision"
"10432","Urban","Male","Married",42,"Third Party","Sedan","0",400,"External","no change","All Perils"
"11133","Urban","Male","Single",23,"Third Party","Sedan","0",400,"External","no change","Collision"
"5122","Urban","Male","Married",69,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"8567","Urban","Male","Married",26,"Third Party","Sedan","0",400,"External","no change","All Perils"
"4773.1","Urban","Male","Single",45,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12026.1","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"4357","Urban","Male","Married",56,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5311","Urban","Male","Married",34,"Third Party","Sedan","0",400,"External","no change","All Perils"
"11852","Urban","Male","Married",46,"Third Party","Sedan","0",400,"External","no change","All Perils"
"10684","Urban","Female","Married",40,"Third Party","Sedan","0",400,"External","no change","Collision"
"14488","Rural","Male","Single",27,"Third Party","Sedan","0",400,"External","no change","Collision"
"12589","Urban","Male","Single",35,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13457","Urban","Male","Married",33,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1380","Urban","Male","Married",45,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10951","Rural","Male","Single",29,"Third Party","Sedan","0",400,"External","no change","All Perils"
"15132","Urban","Male","Single",34,"Third Party","Sedan","0",400,"External","no change","Collision"
"189.2","Urban","Male","Married",36,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13274.1","Urban","Male","Married",37,"Third Party","Sport","0",400,"External","no change","Liability"
"1724","Urban","Male","Married",48,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14054","Rural","Male","Married",57,"Third Party","Sedan","0",400,"Internal","no change","Collision"
"8213","Urban","Male","Married",32,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"5965","Urban","Male","Married",33,"Third Party","Sport","0",400,"External","4 to 8 years","Collision"
"11798.1","Urban","Male","Single",48,"Third Party","Sedan","0",400,"External","no change","Collision"
"6891","Urban","Male","Married",33,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1700","Urban","Male","Married",31,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"8556","Urban","Female","Married",40,"Third Party","Sport","0",400,"External","no change","Liability"
"3139","Urban","Male","Married",45,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3998","Urban","Male","Married",28,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1918","Urban","Male","Married",38,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10265.1","Urban","Male","Married",58,"Third Party","Sedan","0",400,"External","no change","All Perils"
"9349","Urban","Male","Married",32,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8184.3","Urban","Male","Married",37,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11200","Urban","Male","Single",28,"Third Party","Sedan","0",400,"External","no change","All Perils"
"12743","Urban","Male","Single",28,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11235.1","Urban","Male","Single",33,"Third Party","Sport","0",400,"External","no change","Liability"
"5841","Urban","Male","Married",51,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6352.1","Urban","Male","Married",50,"Third Party","Sport","0",400,"External","no change","Liability"
"10082","Urban","Female","Single",33,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12086.2","Urban","Male","Married",80,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8854","Urban","Female","Divorced",32,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1056","Urban","Male","Married",28,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5665","Urban","Male","Married",42,"Third Party","Sport","0",400,"External","no change","Liability"
"14663","Urban","Female","Married",34,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10745.1","Urban","Male","Single",29,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"4908","Urban","Male","Single",22,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12164","Urban","Female","Married",48,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2869.1","Urban","Male","Single",32,"Third Party","Sedan","0",400,"External","no change","Collision"
"10531","Urban","Male","Married",48,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"4987","Urban","Female","Married",54,"Third Party","Sedan","0",400,"External","no change","Collision"
"13959.1","Urban","Male","Single",30,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9705.2","Rural","Female","Single",35,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1630","Urban","Male","Married",39,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"7286","Urban","Male","Married",42,"Third Party","Sedan","0",700,"External","no change","Collision"
"9060","Rural","Male","Single",29,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9004.1","Urban","Female","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12808","Urban","Male","Married",26,"Third Party","Sport","0",400,"External","no change","Liability"
"7858","Urban","Male","Single",24,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2818","Urban","Female","Married",37,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"9852","Rural","Male","Married",29,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1452.1","Urban","Male","Married",66,"Third Party","Sedan","0",400,"External","no change","All Perils"
"4009.1","Urban","Male","Married",42,"Third Party","Sedan","0",400,"External","no change","Collision"
"11112","Urban","Male","Married",40,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14636.1","Urban","Male","Married",49,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11866.1","Urban","Male","Married",32,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"13833","Urban","Male","Married",26,"Third Party","Sedan","0",400,"External","1 year","Collision"
"12541","Urban","Male","Married",30,"Third Party","Sedan","0",400,"External","no change","Collision"
"5680","Urban","Female","Married",39,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6826","Rural","Male","Married",64,"Policy Holder","Sedan","0",400,"External","1 year","Collision"
"6517.1","Urban","Male","Married",40,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6413.1","Urban","Male","Married",51,"Third Party","Sedan","0",400,"External","no change","All Perils"
"2090","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1221","Urban","Male","Single",33,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5304.2","Urban","Male","Single",34,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13388.1","Urban","Male","Married",38,"Third Party","Sport","0",400,"External","no change","Liability"
"2944","Urban","Male","Married",45,"Third Party","Utility","0",400,"External","no change","All Perils"
"2025","Urban","Male","Married",31,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"6978","Urban","Male","Married",50,"Third Party","Sedan","0",400,"External","no change","All Perils"
"15028","Urban","Male","Married",38,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2353","Rural","Male","Married",74,"Policy Holder","Sedan","0",400,"External","4 to 8 years","All Perils"
"2081","Urban","Male","Married",45,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7001.1","Rural","Male","Married",32,"Third Party","Sedan","0",400,"External","no change","Collision"
"5203","Urban","Male","Married",54,"Policy Holder","Sport","0",500,"External","2 to 3 years","Liability"
"847","Urban","Male","Married",43,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11062","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14786","Urban","Male","Married",60,"Third Party","Sedan","0",400,"External","no change","All Perils"
"10149","Urban","Male","Single",22,"Third Party","Sedan","0",400,"External","no change","Collision"
"6141","Urban","Male","Single",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"9846","Urban","Male","Married",42,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14015","Urban","Male","Single",26,"Policy Holder","Sedan","0",400,"External","1 year","All Perils"
"1112","Rural","Male","Married",57,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"14601","Urban","Male","Married",26,"Third Party","Sedan","0",400,"External","no change","All Perils"
"4689.2","Urban","Male","Married",33,"Third Party","Sedan","0",400,"External","no change","Collision"
"14242","Urban","Male","Married",36,"Third Party","Sedan","0",400,"External","no change","Collision"
"3281.2","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10798","Urban","Male","Married",47,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"9400","Urban","Male","Married",47,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5796","Urban","Male","Married",64,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2835","Urban","Female","Married",28,"Third Party","Sedan","0",400,"External","no change","Collision"
"14608.1","Urban","Male","Married",33,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"6003.1","Urban","Male","Married",51,"Third Party","Sedan","0",400,"External","no change","Collision"
"3605.1","Urban","Male","Married",59,"Third Party","Sedan","0",400,"External","no change","All Perils"
"11015","Urban","Female","Divorced",45,"Third Party","Sedan","0",400,"External","no change","All Perils"
"12678","Urban","Male","Single",25,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11276.1","Urban","Male","Single",26,"Third Party","Sedan","0",400,"External","no change","All Perils"
"1940","Urban","Female","Single",41,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4200","Urban","Male","Single",29,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1541","Urban","Male","Single",22,"Third Party","Sport","0",400,"External","no change","Collision"
"2299.2","Urban","Male","Married",40,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11532","Urban","Female","Married",32,"Policy Holder","Sport","0",400,"External","no change","Collision"
"7088.1","Urban","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"244","Urban","Male","Single",0,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"196","Urban","Male","Married",49,"Third Party","Sedan","0",400,"External","no change","Collision"
"7723","Urban","Female","Single",27,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2266","Urban","Male","Married",26,"Policy Holder","Utility","0",400,"External","no change","Collision"
"13078.2","Rural","Male","Married",56,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3410","Urban","Male","Single",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11944","Urban","Female","Single",22,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"15034.1","Urban","Male","Married",33,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9658","Urban","Male","Married",54,"Policy Holder","Sport","0",400,"Internal","no change","Liability"
"11985","Urban","Female","Married",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11332","Rural","Male","Married",60,"Third Party","Sedan","0",400,"External","no change","All Perils"
"3998.1","Urban","Male","Married",28,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2192","Urban","Male","Married",26,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3901","Urban","Male","Single",45,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13266","Urban","Female","Married",52,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13404","Urban","Male","Single",43,"Third Party","Sport","0",400,"External","no change","Collision"
"12406","Urban","Male","Married",58,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"4853","Urban","Male","Single",35,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5315","Urban","Male","Single",0,"Third Party","Sedan","0",400,"External","no change","All Perils"
"3421","Urban","Male","Married",53,"Policy Holder","Sport","0",400,"External","no change","Liability"
"531.1","Urban","Male","Single",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4240","Rural","Male","Married",45,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10428","Urban","Female","Single",32,"Third Party","Sedan","0",400,"External","no change","Collision"
"4996","Urban","Male","Single",41,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3880","Rural","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1177","Rural","Male","Married",52,"Policy Holder","Sedan","0",400,"External","4 to 8 years","All Perils"
"3067","Urban","Male","Married",36,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"6518.1","Urban","Male","Married",39,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6599","Urban","Male","Married",43,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1850","Urban","Male","Married",55,"Third Party","Sedan","0",400,"External","no change","Collision"
"3178","Urban","Male","Married",36,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"4204","Urban","Female","Married",33,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2951.1","Urban","Male","Married",28,"Third Party","Sedan","0",400,"External","no change","Collision"
"9169.2","Urban","Male","Married",35,"Third Party","Sport","0",400,"External","no change","Liability"
"13932.1","Urban","Male","Married",29,"Third Party","Sport","0",400,"External","no change","Collision"
"7448","Urban","Male","Single",37,"Policy Holder","Sport","0",400,"External","no change","Liability"
"623","Urban","Male","Married",44,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9068.1","Urban","Female","Married",35,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2769","Urban","Male","Married",53,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9589","Urban","Male","Married",49,"Policy Holder","Sport","0",500,"External","2 to 3 years","Liability"
"8480","Urban","Male","Single",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"7494.2","Urban","Male","Married",47,"Policy Holder","Sport","0",400,"External","no change","Liability"
"7639","Urban","Male","Married",54,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"12062","Urban","Male","Married",58,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14861","Urban","Male","Married",46,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"5209","Urban","Male","Single",38,"Policy Holder","Sport","0",700,"External","4 to 8 years","Liability"
"11193","Urban","Male","Married",27,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11281","Urban","Female","Single",31,"Third Party","Sedan","0",400,"External","no change","Collision"
"9097","Urban","Male","Single",24,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"226","Urban","Male","Married",29,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8154","Urban","Male","Married",37,"Policy Holder","Sport","0",700,"External","no change","Liability"
"11690","Urban","Male","Married",48,"Policy Holder","Sport","0",400,"External","no change","Collision"
"5752","Urban","Female","Married",38,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1692.1","Urban","Male","Married",40,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"74","Urban","Male","Married",47,"Third Party","Sedan","0",400,"External","no change","Collision"
"11063","Urban","Male","Married",27,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10206","Urban","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Collision"
"7991","Urban","Male","Single",21,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"8969","Rural","Female","Single",41,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11580","Urban","Male","Married",29,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6427.1","Urban","Male","Married",46,"Policy Holder","Sport","0",500,"External","2 to 3 years","Liability"
"1999","Urban","Male","Married",40,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5013.1","Urban","Male","Single",36,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"8293.1","Urban","Male","Married",39,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2565","Urban","Male","Married",43,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9721.1","Urban","Female","Married",45,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6227","Urban","Female","Single",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"15305.1","Urban","Male","Married",37,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"663","Urban","Female","Single",27,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"8820","Urban","Male","Married",49,"Policy Holder","Sport","0",400,"External","no change","Liability"
"132.1","Urban","Male","Single",18,"Third Party","Sedan","0",400,"External","no change","Collision"
"5393","Urban","Male","Married",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2034","Urban","Male","Married",50,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9358","Urban","Male","Married",49,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3269.1","Urban","Male","Single",34,"Third Party","Sport","0",400,"External","no change","Liability"
"2656","Urban","Female","Single",35,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11283","Urban","Male","Married",62,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"10194.1","Urban","Male","Married",42,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13979.2","Urban","Male","Married",40,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"8358.1","Urban","Male","Married",45,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5612","Urban","Male","Single",35,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"13513","Urban","Male","Married",34,"Third Party","Sedan","0",400,"External","no change","All Perils"
"7251","Urban","Male","Married",44,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7377","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","no change","All Perils"
"14885","Rural","Male","Single",31,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"13586","Rural","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14031","Urban","Male","Married",32,"Third Party","Sedan","0",400,"External","no change","Collision"
"14339","Urban","Male","Married",49,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13650","Urban","Female","Married",41,"Third Party","Sport","0",400,"External","no change","Liability"
"5172","Urban","Male","Single",28,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13138","Urban","Female","Married",32,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14468","Urban","Male","Married",45,"Third Party","Sport","0",400,"External","no change","Collision"
"13465","Rural","Female","Married",47,"Third Party","Sedan","0",500,"External","2 to 3 years","Collision"
"492","Urban","Male","Single",28,"Third Party","Sedan","0",400,"External","no change","Collision"
"4908.1","Urban","Male","Single",22,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11369","Urban","Female","Single",35,"Third Party","Sedan","0",400,"External","no change","All Perils"
"12982","Urban","Male","Married",43,"Third Party","Sport","0",400,"External","no change","Liability"
"10109.1","Urban","Male","Married",37,"Policy Holder","Sport","0",400,"External","no change","Collision"
"12728","Urban","Male","Married",56,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6026.1","Urban","Male","Single",23,"Third Party","Sedan","0",400,"External","no change","Collision"
"7947.2","Urban","Male","Single",43,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10646.1","Urban","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"7578","Urban","Male","Married",39,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11026","Urban","Male","Married",54,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"13175.1","Urban","Male","Married",58,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6258","Urban","Female","Married",38,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1244","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","no change","All Perils"
"1715.1","Urban","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3040","Urban","Male","Married",63,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"12664.1","Urban","Male","Single",34,"Policy Holder","Sedan","0",400,"External","4 to 8 years","All Perils"
"4339","Rural","Male","Married",46,"Third Party","Sport","0",400,"Internal","no change","Liability"
"6443","Urban","Male","Married",42,"Third Party","Sport","0",400,"External","no change","Liability"
"601.1","Rural","Male","Married",26,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3934","Urban","Male","Married",43,"Third Party","Sedan","0",400,"External","no change","Collision"
"6459.1","Urban","Female","Married",33,"Third Party","Sport","0",400,"External","no change","Liability"
"3425","Urban","Male","Married",45,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4017","Urban","Male","Married",39,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11282","Urban","Male","Married",60,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"8817.1","Urban","Male","Married",33,"Third Party","Sedan","0",400,"External","no change","Collision"
"11113","Urban","Male","Married",46,"Third Party","Sport","0",400,"External","no change","Liability"
"7322.1","Urban","Male","Married",50,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13432","Urban","Female","Single",43,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"5956","Urban","Male","Single",22,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13035","Rural","Male","Married",31,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"376.1","Urban","Female","Single",31,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14650","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1864.1","Urban","Female","Married",61,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13509.1","Urban","Female","Single",32,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13784","Urban","Male","Married",53,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"889.1","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6969.1","Urban","Male","Married",34,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2073.1","Urban","Male","Married",36,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"3028","Urban","Male","Single",37,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1210.1","Urban","Male","Married",36,"Policy Holder","Sport","0",700,"External","no change","Liability"
